task_completion_rate,avg_task_time_hours,feedback_rating,attendance_rate,punctuality_score,problem_solving_rating,team_collaboration_score,training_completion_pct,deadline_adherence_ratio,performance_score,outcome_label
0.333,13.39,4.33,0.484,7.04,1.07,6.06,1.0,0.1667,0.4799,Struggle
0.64,5.37,3.45,0.9506,6.42,3.39,7.65,0.8111,0.875,0.7056,Excel
0.7908,3.64,3.89,0.7993,6.85,4.13,6.24,0.7917,1.0,0.8266,High Excel
0.3918,8.9,3.84,0.9251,5.42,2.21,4.74,0.8959,0.1818,0.5482,Average
0.5547,15.46,3.27,0.873,5.87,3.08,8.86,0.8699,0.0,0.5336,Average
0.4227,9.7,1.75,0.8456,4.8,2.36,6.19,0.8723,0.5625,0.5261,Average
0.494,4.62,3.53,0.9256,8.91,2.32,5.93,0.5475,1.0,0.7112,Excel
0.7833,1.0,4.87,0.6584,9.23,3.11,4.61,0.4893,0.25,0.6728,Average
0.7132,8.2,3.64,0.9809,4.71,4.85,4.83,0.6376,0.8333,0.6963,Excel
0.4547,1.7,4.8,1.0,7.42,2.59,4.3,0.8964,0.6,0.659,Average
0.639,4.83,1.76,0.9472,4.69,3.42,7.6,0.8003,0.0,0.5574,Average
0.6452,4.8,3.12,0.8336,8.15,3.72,5.87,1.0,0.75,0.7023,Excel
0.8108,6.18,4.17,1.0,8.84,2.86,4.78,0.6228,0.0,0.6862,Excel
0.7615,12.91,2.36,0.657,5.48,2.17,7.29,0.8165,0.1818,0.5377,Average
0.9631,5.5,1.85,0.8629,8.71,2.46,8.77,0.4536,0.4,0.6856,Excel
0.7968,1.49,2.71,0.7721,4.71,3.3,4.87,0.8777,1.0,0.7246,Excel
0.7226,6.26,5.0,0.6623,5.51,2.71,3.79,0.4486,0.0909,0.5711,Average
0.6244,9.94,2.95,0.7386,8.15,2.25,8.11,0.7494,1.0,0.709,Excel
0.6732,10.34,3.74,0.8999,6.57,4.36,8.42,0.7214,0.0625,0.6523,Average
0.7045,8.89,4.96,0.8856,4.0,3.69,6.81,0.6064,0.7,0.7202,Excel
0.6618,7.87,1.88,0.8785,6.64,4.7,10.0,0.8122,0.0,0.5917,Average
0.3064,7.24,2.79,0.6841,4.18,4.95,5.85,0.5614,0.9167,0.5994,Average
1.0,8.56,3.07,0.9259,4.67,1.13,4.37,0.6458,1.0,0.733,Excel
0.6082,6.24,1.0,0.7809,4.98,3.09,4.61,0.4262,0.25,0.4798,Struggle
0.4047,10.11,5.0,0.7295,7.76,2.91,6.17,0.9211,0.8235,0.6407,Average
0.7627,4.78,3.37,0.939,5.58,2.48,4.57,0.7075,0.1176,0.6133,Average
0.6883,2.71,4.53,1.0,9.01,3.16,6.48,0.9895,0.6667,0.7826,Excel
0.7641,10.42,1.19,0.9705,3.8,4.74,4.47,0.3705,0.6,0.621,Average
0.71,14.39,2.04,0.6441,5.52,5.0,5.69,0.7544,0.9,0.6454,Average
0.3797,7.21,4.62,0.7655,6.53,4.57,6.81,0.5997,0.4615,0.5902,Average
0.7444,5.43,3.11,0.7121,2.91,1.75,2.55,0.6541,0.1429,0.5204,Average
0.5668,5.23,4.19,0.7135,3.99,2.92,3.8,0.6705,0.0,0.526,Average
0.4427,4.7,2.55,0.8079,4.34,4.66,5.47,0.6659,0.1765,0.5291,Average
0.7166,9.51,2.81,0.6461,5.76,2.71,8.68,0.459,0.125,0.5395,Average
0.5152,6.18,2.97,0.5685,4.63,4.45,6.7,0.3838,0.6667,0.5805,Average
0.2912,13.64,2.24,0.8868,6.63,3.79,4.52,0.9002,0.0,0.4853,Struggle
0.6827,8.86,2.63,0.7804,5.41,4.25,5.28,0.781,1.0,0.7062,Excel
0.4827,4.44,1.57,0.7159,7.87,2.68,6.64,0.8535,1.0,0.5958,Average
0.4593,5.17,4.42,0.7064,6.52,4.7,8.25,0.6286,0.5,0.6858,Excel
0.6693,10.43,1.87,1.0,5.56,3.63,9.16,0.6735,0.0,0.594,Average
0.4018,3.33,5.0,0.9123,6.86,3.47,7.73,0.5172,0.0,0.6215,Average
0.692,7.02,3.29,0.9247,4.72,3.08,7.69,0.8717,0.5,0.6455,Average
0.5548,10.89,4.28,0.9408,4.28,1.0,4.07,0.9233,1.0,0.6477,Average
0.6305,4.86,4.08,0.813,9.63,1.9,10.0,0.8228,0.875,0.7431,Excel
0.6778,9.31,4.12,0.7345,7.8,5.0,5.81,0.6328,1.0,0.7304,Excel
0.7755,7.32,4.33,0.8721,6.57,3.1,4.8,0.6732,0.7857,0.7571,Excel
0.9172,12.73,4.02,0.7179,8.44,3.19,5.57,0.6273,0.2857,0.6733,Average
0.5359,10.23,2.69,0.4872,8.55,3.75,4.32,0.5222,0.0,0.4787,Struggle
0.8438,7.57,4.03,0.8165,5.67,4.16,5.97,0.7359,0.0,0.6674,Average
0.6517,7.33,2.16,0.7508,10.0,1.81,5.98,0.397,0.0588,0.5532,Average
0.6051,7.89,3.72,0.9465,5.53,3.74,5.92,0.7152,0.75,0.688,Excel
0.9242,3.55,3.75,0.8746,6.4,1.12,5.5,0.5787,0.4167,0.7005,Excel
0.5719,6.83,2.8,1.0,4.95,2.72,4.14,0.7422,0.125,0.5513,Average
0.7798,9.69,3.5,0.5339,9.74,1.51,8.31,0.7929,0.125,0.604,Average
0.4934,9.06,3.37,0.8155,4.85,2.55,9.84,0.5846,0.1667,0.5963,Average
0.7471,8.46,4.64,0.8662,6.98,1.88,7.86,0.4493,0.5,0.6795,Average
0.7436,6.16,3.27,0.784,6.85,4.14,5.19,0.4589,0.1818,0.6293,Average
0.7294,2.48,4.45,1.0,8.03,4.64,5.08,0.437,0.0,0.722,Excel
0.4242,7.99,2.69,0.4279,6.44,2.96,6.7,0.7827,0.5,0.4997,Struggle
0.5399,7.67,4.01,0.7445,7.55,4.15,4.79,0.7315,0.625,0.6596,Average
0.5718,11.71,5.0,0.8285,5.61,5.0,5.93,0.5272,0.6471,0.7159,Excel
0.4451,8.0,3.95,0.805,8.95,3.83,9.36,0.6443,0.875,0.6704,Average
0.5322,7.21,4.53,0.8885,4.34,3.5,10.0,0.4145,0.4,0.6575,Average
0.5169,8.48,3.91,0.7614,9.24,1.0,5.05,0.9681,0.1818,0.5346,Average
0.7913,9.87,3.82,0.9998,2.75,2.87,2.51,0.7429,0.5714,0.6342,Average
0.7164,4.76,4.46,0.7924,5.21,2.68,7.36,0.8255,0.1176,0.6354,Average
0.6375,7.57,2.57,0.6865,6.25,1.09,10.0,0.8839,0.5714,0.5766,Average
0.7349,13.04,3.34,0.7031,10.0,2.33,6.08,0.7936,0.8333,0.7218,Excel
0.5838,6.64,2.92,0.6076,5.51,4.07,6.01,1.0,1.0,0.6759,Average
0.2909,2.78,3.85,0.8081,7.43,4.67,6.5,0.5927,0.6,0.6112,Average
0.8079,10.91,3.21,0.783,5.58,2.1,2.51,0.9478,1.0,0.6628,Average
0.9093,12.22,2.39,0.793,3.6,2.83,4.43,0.6766,0.0667,0.5233,Average
0.6309,11.97,1.0,0.8168,8.17,3.43,5.02,0.5864,0.4375,0.5743,Average
0.8303,1.31,3.09,0.8518,8.83,3.18,4.2,0.669,1.0,0.7485,Excel
0.5459,8.27,2.36,0.9825,6.4,4.55,7.28,0.5137,0.4375,0.6079,Average
0.5598,1.66,3.6,0.7342,8.17,5.0,8.43,0.7858,0.8182,0.7259,Excel
0.9547,11.07,2.82,0.8225,7.56,1.96,5.0,0.7478,0.4,0.6676,Average
0.6173,5.94,1.87,0.7698,8.07,2.09,8.57,0.5797,0.8235,0.6056,Average
0.4706,2.12,1.56,0.7081,7.61,2.41,7.26,0.8289,0.6,0.5582,Average
0.9164,6.51,3.48,0.7853,10.0,3.49,7.79,0.82,0.1667,0.6959,Excel
0.6117,6.67,5.0,0.6798,5.64,1.76,9.52,0.7202,0.3125,0.6503,Average
0.6562,7.54,2.03,0.8037,10.0,3.06,9.33,0.8195,0.7692,0.6677,Average
1.0,13.71,3.42,0.8544,6.35,3.78,9.3,0.8442,0.0,0.6857,Excel
0.774,9.65,4.29,0.5224,2.83,2.16,8.69,0.5367,0.3333,0.5549,Average
0.8001,8.74,1.95,0.9317,6.83,5.0,7.71,0.8448,0.0833,0.6693,Average
0.7219,4.61,2.41,0.7963,7.16,3.62,6.27,0.6717,0.5625,0.6458,Average
0.6094,8.34,2.26,0.7408,6.01,2.14,2.3,0.6193,0.8333,0.5679,Average
0.6794,13.34,3.9,0.7081,7.09,4.95,8.25,1.0,0.2353,0.666,Average
0.8239,3.33,1.64,0.9138,5.77,2.71,4.0,0.8797,0.3571,0.6486,Average
0.7438,8.21,3.08,0.7248,7.3,2.59,5.57,0.6507,0.125,0.6176,Average
0.6754,9.86,2.39,0.8585,6.89,4.71,6.02,0.7198,0.2143,0.5862,Average
0.9033,11.97,3.63,0.9828,10.0,4.67,5.01,0.9476,0.3333,0.7831,Excel
0.6482,9.18,3.0,0.5823,6.88,4.9,5.21,0.4291,0.8333,0.6204,Average
0.3723,4.64,1.96,0.8766,8.57,4.1,9.93,0.5297,0.25,0.5686,Average
0.4447,9.29,4.41,0.753,4.34,2.35,3.77,0.5102,0.0667,0.4838,Struggle
0.6683,10.76,4.48,0.7846,8.0,4.12,3.63,0.9185,0.0,0.6063,Average
0.8033,5.92,4.3,0.9751,10.0,2.45,5.79,0.5585,0.875,0.7573,Excel
0.6474,6.47,4.09,1.0,3.02,4.04,6.2,0.7792,0.1111,0.6303,Average
0.527,13.9,1.69,0.7885,6.58,3.11,9.09,0.829,0.0,0.5283,Average
0.7343,6.14,2.6,0.7552,10.0,5.0,6.27,0.982,0.3529,0.6795,Average
0.2962,10.26,4.34,0.9392,7.26,2.48,6.69,1.0,0.4,0.5779,Average
0.7181,8.79,2.16,0.8848,1.63,1.48,2.9,0.5457,0.8667,0.586,Average
0.6185,9.14,3.29,0.8905,8.73,4.21,6.9,0.584,0.6667,0.7036,Excel
0.442,5.53,3.36,0.4779,6.41,2.4,6.76,1.0,0.3,0.5134,Average
0.5505,10.36,3.54,0.8156,7.19,2.92,6.74,0.8564,0.4,0.6296,Average
0.4333,9.29,1.9,0.8434,6.77,4.16,8.02,0.8984,0.9231,0.6261,Average
0.7049,8.36,3.51,0.7502,5.14,2.85,6.24,0.806,0.5556,0.5974,Average
0.6139,6.61,1.76,0.8176,3.82,3.22,8.09,0.6241,0.2,0.5505,Average
0.9162,8.63,3.32,0.5873,8.16,1.29,4.78,0.9335,0.0769,0.5962,Average
0.4045,5.17,3.18,0.8219,6.58,2.65,8.53,0.9808,0.8571,0.6745,Average
0.6557,7.49,3.16,0.8832,5.12,3.29,8.74,0.7192,0.2857,0.6588,Average
0.7975,9.06,3.33,0.6739,7.42,1.79,4.22,1.0,0.5625,0.6192,Average
0.5506,2.04,3.81,0.8933,8.94,3.05,7.86,0.5392,0.7273,0.7292,Excel
0.6191,10.0,3.89,0.8433,5.53,4.08,7.25,1.0,1.0,0.7281,Excel
0.6997,11.37,3.31,0.8073,6.17,3.85,8.76,0.7939,0.6667,0.6645,Average
0.5287,5.53,2.93,0.6207,8.54,3.71,8.32,0.7615,0.4,0.6223,Average
0.7782,8.78,2.82,0.8526,6.41,2.17,6.13,0.8167,0.7143,0.694,Excel
0.4617,8.09,3.56,0.6723,7.58,4.55,6.85,0.6596,0.5,0.6315,Average
0.6228,10.59,3.7,0.7931,9.38,3.82,7.75,0.6009,0.6667,0.6976,Excel
0.8741,6.42,4.24,0.794,3.6,4.75,6.39,0.683,0.5882,0.725,Excel
0.9085,3.98,3.16,0.6799,7.9,3.66,9.73,0.4134,0.1429,0.6698,Average
0.821,9.14,4.44,0.7869,4.39,2.96,5.86,0.7409,0.5,0.6855,Excel
0.6783,9.49,4.07,1.0,9.69,4.07,5.66,0.9525,0.4,0.7336,Excel
0.6738,6.6,4.81,0.8138,8.09,3.98,9.38,0.9013,0.3,0.7254,Excel
0.5952,4.59,3.21,0.7785,10.0,3.52,5.22,0.7277,0.7857,0.7411,Excel
0.7511,9.11,4.77,0.754,7.04,3.75,3.31,0.9382,0.0,0.6465,Average
0.7459,8.9,3.69,0.8153,7.77,4.31,10.0,0.7271,0.4615,0.6868,Excel
0.9688,9.13,2.27,0.6992,5.23,2.22,9.54,0.7559,0.2941,0.6694,Average
0.8129,3.74,3.05,0.7295,3.99,2.57,3.82,0.4997,0.9375,0.637,Average
0.802,5.87,3.6,0.8327,5.98,3.81,5.67,0.7583,0.0,0.6563,Average
0.7194,10.48,2.39,0.6589,6.45,3.29,7.62,0.7004,0.8571,0.6408,Average
0.8195,10.87,3.88,0.826,7.61,1.71,7.0,0.6673,0.625,0.7056,Excel
0.721,5.72,1.0,0.7227,6.97,2.02,7.15,0.8737,0.1667,0.5731,Average
0.8243,8.69,4.46,0.8542,10.0,3.69,4.99,0.7138,0.6,0.7975,Excel
0.7428,16.98,4.7,0.9457,5.3,4.02,7.04,0.7087,1.0,0.7351,Excel
0.8272,9.89,3.61,0.8135,7.27,2.34,4.56,0.6997,1.0,0.721,Excel
0.5498,6.02,4.21,0.6489,2.33,4.43,8.44,0.5582,0.6364,0.6455,Average
0.3729,5.7,3.5,0.6443,10.0,3.71,1.95,0.5575,0.875,0.5847,Average
0.46,10.27,3.04,0.6184,7.07,2.56,8.45,0.7577,0.6667,0.5789,Average
0.5185,8.42,1.92,0.7288,5.39,2.91,6.64,1.0,0.3333,0.5098,Average
0.876,6.86,2.69,0.8442,4.89,3.98,5.61,0.6469,0.6364,0.708,Excel
0.7992,8.86,1.0,0.8271,4.55,5.0,5.66,1.0,0.9231,0.6705,Average
0.5847,1.89,2.93,0.7558,5.69,4.96,5.86,0.8288,0.1667,0.6327,Average
0.7109,10.51,3.32,1.0,5.42,2.82,8.6,0.7408,0.9231,0.692,Excel
0.5007,5.22,3.76,0.615,9.07,2.96,4.87,0.549,0.9375,0.6387,Average
0.7566,1.43,3.74,0.9134,10.0,2.58,5.04,0.7338,0.4,0.7328,Excel
0.8027,8.59,1.84,0.8591,10.0,4.57,4.44,0.7575,0.5333,0.6787,Average
0.5921,6.26,3.04,0.6484,6.26,2.13,9.76,0.4166,0.5714,0.6246,Average
0.6304,7.16,2.51,0.9483,1.63,2.08,7.78,1.0,0.5455,0.5876,Average
0.8168,11.89,1.66,0.8248,6.74,3.43,7.45,0.8139,0.7647,0.7071,Excel
0.9183,4.02,5.0,1.0,6.65,4.47,4.59,0.6106,0.7,0.8663,High Excel
0.5924,5.95,2.42,0.7315,7.19,3.64,5.95,0.7246,1.0,0.6696,Average
0.3527,7.03,3.49,0.8512,6.85,2.66,5.59,0.8842,0.5455,0.5348,Average
0.4094,7.37,4.48,0.9094,2.41,5.0,6.78,0.4942,0.9167,0.638,Average
0.8055,2.02,3.14,0.5844,4.11,4.38,7.46,1.0,0.6,0.6644,Average
0.9344,6.68,4.04,0.6994,5.45,2.11,8.33,0.8272,0.6923,0.7481,Excel
0.6977,10.59,4.37,0.7831,7.37,1.51,7.96,0.8242,1.0,0.7026,Excel
0.6566,10.86,4.24,0.6194,6.37,2.4,5.02,0.6501,1.0,0.6651,Average
0.8588,9.64,2.74,0.6182,6.29,3.72,9.05,0.8165,0.2857,0.6264,Average
0.737,9.95,1.23,0.9187,4.94,3.51,7.0,0.8872,0.8667,0.6361,Average
0.5394,5.37,2.83,1.0,6.37,1.56,6.79,0.8827,0.75,0.6312,Average
0.3327,8.88,4.38,0.9174,9.35,4.07,8.05,0.5911,0.7273,0.7095,Excel
1.0,7.73,4.8,0.8176,5.58,4.73,7.02,0.7898,0.6429,0.8013,High Excel
0.7102,6.37,3.45,0.8555,6.18,3.29,8.33,0.6302,0.0,0.615,Average
0.5365,10.15,2.48,0.7894,4.69,3.75,2.71,0.8732,0.7333,0.5536,Average
0.6666,10.6,3.12,0.8525,6.42,3.62,6.91,0.6978,0.6667,0.6669,Average
0.6088,13.97,4.82,0.8204,4.46,3.5,9.28,0.6048,1.0,0.7032,Excel
0.458,4.77,2.97,0.7805,7.07,5.0,9.74,0.8432,0.75,0.6886,Excel
0.7824,10.91,4.84,0.5596,4.54,2.55,4.22,0.5566,1.0,0.6559,Average
0.666,6.85,4.79,0.8757,2.96,2.74,8.2,0.713,0.8889,0.7375,Excel
0.665,8.0,2.27,0.6217,8.04,2.71,6.96,1.0,0.0,0.5088,Average
0.2908,11.67,4.97,0.8081,6.84,3.02,9.24,0.8226,0.1538,0.5782,Average
0.6421,5.64,3.01,0.7069,9.37,1.76,5.95,0.9676,0.7333,0.6562,Average
0.8943,10.64,3.1,0.7665,4.35,2.46,5.31,0.7027,0.0,0.5867,Average
0.7918,5.6,2.84,0.432,5.93,4.2,6.25,0.5752,0.0,0.5641,Average
0.3798,3.34,2.44,0.8302,5.0,1.5,4.36,0.7474,0.25,0.4293,Struggle
0.7142,4.82,4.97,0.8492,3.83,5.0,10.0,0.6789,0.125,0.6903,Excel
0.4842,12.01,2.53,0.7977,9.12,3.22,5.86,0.8441,0.2667,0.5376,Average
0.9147,4.62,1.0,0.8843,4.24,4.01,5.84,0.5486,0.4615,0.6633,Average
0.5414,3.81,3.39,0.8748,8.24,3.58,4.9,0.7859,0.2,0.5903,Average
0.3882,6.84,3.28,0.5944,5.9,2.44,7.0,0.941,0.0,0.4553,Struggle
1.0,3.18,3.2,0.9019,5.43,3.44,5.18,0.726,0.0,0.6764,Average
0.5972,9.64,3.7,0.7399,9.35,4.32,4.76,0.9231,0.3333,0.63,Average
0.6087,9.06,4.21,1.0,5.11,2.21,3.87,0.8903,0.2857,0.6054,Average
0.5806,14.96,2.66,0.7798,4.67,4.28,7.35,0.8436,0.0,0.5348,Average
0.7833,6.87,4.3,0.9337,3.93,2.53,4.66,0.9593,0.0,0.6107,Average
0.3651,3.42,4.35,1.0,4.57,2.26,6.14,0.7076,0.5,0.5866,Average
0.8009,8.07,3.69,0.5767,7.32,3.55,6.77,0.4132,0.6,0.7006,Excel
0.4461,6.18,2.7,0.7928,6.27,3.44,10.0,0.5879,1.0,0.6156,Average
0.8365,1.79,2.49,0.5507,5.96,3.09,6.15,0.9065,0.2,0.5941,Average
0.5371,10.74,1.0,0.807,7.41,1.0,8.12,0.6795,0.9333,0.5369,Average
0.2,2.14,3.94,0.777,5.91,2.89,3.78,0.9785,0.8571,0.5761,Average
0.7282,4.94,3.02,0.8367,7.96,4.29,8.8,1.0,0.75,0.7404,Excel
0.6461,7.02,3.84,0.7612,9.08,3.62,8.29,0.5404,0.25,0.6611,Average
1.0,8.69,5.0,0.3806,2.65,1.97,6.08,0.7289,0.4286,0.6507,Average
0.6298,5.72,1.23,0.7675,4.5,2.75,4.78,0.6864,0.4286,0.5196,Average
0.7862,7.28,5.0,0.853,5.68,3.03,8.97,0.7955,1.0,0.8408,High Excel
0.3907,4.33,4.94,1.0,5.64,3.45,5.88,0.537,1.0,0.7035,Excel
0.5609,7.85,1.78,0.6898,4.56,5.0,9.22,0.8127,1.0,0.6414,Average
0.652,15.01,1.61,0.6847,7.73,3.64,5.37,0.8304,0.9,0.5902,Average
0.7283,7.33,3.56,0.5992,7.64,3.47,7.71,0.8428,0.3,0.6307,Average
0.8613,3.54,5.0,0.9245,7.74,2.93,5.88,0.8097,0.8333,0.7853,Excel
0.6288,8.12,4.35,0.7901,3.6,3.11,5.71,0.4254,0.6667,0.5764,Average
0.4225,8.27,1.89,0.6771,5.83,3.02,6.11,0.9104,0.7778,0.5898,Average
0.6727,9.16,3.94,0.5891,7.99,4.33,5.1,0.4202,0.8571,0.6745,Average
0.5181,6.13,1.88,0.9922,4.52,2.85,5.8,0.6435,0.6875,0.6113,Average
0.4331,11.87,3.83,0.8358,9.12,4.35,5.29,0.5929,0.0,0.558,Average
1.0,1.73,2.85,0.8537,6.87,4.06,7.66,0.7251,0.9,0.8075,High Excel
0.707,6.69,3.01,0.9381,6.99,3.14,6.51,0.9112,0.75,0.7094,Excel
0.8978,4.26,2.7,0.7301,6.07,3.76,5.56,0.7798,0.5,0.6503,Average
0.7536,7.48,3.63,0.7431,8.42,1.7,6.5,0.8121,0.4,0.6217,Average
0.7546,6.87,2.85,0.7836,3.57,2.01,7.02,0.5285,0.6667,0.603,Average
0.8453,9.85,1.85,1.0,3.34,2.73,7.14,0.6231,1.0,0.715,Excel
0.5709,9.27,4.03,0.9894,10.0,5.0,8.59,0.901,0.3571,0.7196,Excel
0.8075,8.76,3.63,0.515,5.46,4.63,7.79,1.0,1.0,0.7536,Excel
0.4593,8.6,5.0,0.8838,5.84,3.49,3.57,1.0,1.0,0.7163,Excel
0.4172,9.26,2.16,0.6055,3.77,2.85,5.95,0.4651,0.8,0.5098,Average
0.7249,5.69,2.46,0.872,8.69,2.91,4.4,0.5984,0.5,0.5979,Average
0.6368,7.4,3.54,0.909,4.92,3.2,10.0,0.7198,0.6471,0.6922,Excel
0.6657,5.47,1.0,0.6867,3.17,4.63,9.09,0.8037,0.25,0.5634,Average
0.7941,2.96,1.3,0.7049,4.73,3.05,6.26,0.6316,0.7333,0.6099,Average
0.4704,10.84,3.9,0.8432,10.0,3.68,7.99,0.5981,0.6667,0.6826,Excel
0.5012,11.83,4.75,0.7351,7.02,3.88,8.74,0.7524,0.8182,0.696,Excel
0.4044,5.12,2.77,0.9121,3.83,3.16,5.68,0.8451,0.4286,0.5848,Average
0.9052,8.18,3.82,1.0,5.65,4.64,5.91,0.862,1.0,0.8349,High Excel
0.668,7.95,2.66,0.9399,9.29,2.99,8.52,1.0,0.0909,0.625,Average
0.789,9.27,2.72,0.8671,8.86,3.62,6.84,0.9891,0.9286,0.7786,Excel
0.6398,7.66,2.42,0.6897,5.2,4.26,5.53,1.0,0.4,0.6104,Average
0.5106,4.44,5.0,0.8719,4.3,2.09,10.0,0.9826,0.5455,0.6856,Excel
0.9308,6.52,3.47,0.5627,7.28,1.69,5.03,0.9613,0.0,0.6071,Average
0.7816,7.4,4.64,0.9317,9.52,3.94,6.21,0.573,0.0,0.6871,Excel
0.6826,7.83,2.12,0.8951,5.83,2.55,8.53,0.5228,0.2222,0.6123,Average
0.4112,6.32,4.47,0.9418,3.51,2.99,7.15,0.8089,0.25,0.5769,Average
0.7619,11.92,1.42,0.7358,8.21,2.79,7.39,0.8387,0.4667,0.6209,Average
0.6071,5.24,4.3,0.6773,7.16,3.7,4.27,0.7656,0.5714,0.6315,Average
0.8026,5.77,4.24,0.8903,5.12,4.19,6.84,0.3105,0.1429,0.6807,Excel
1.0,9.4,2.53,0.7142,6.66,3.73,6.34,0.9473,0.4286,0.6751,Average
0.7265,5.04,5.0,0.8454,8.82,1.65,6.87,0.6115,0.7,0.7584,Excel
1.0,8.59,3.09,0.8428,6.49,4.08,9.46,0.4659,0.7,0.7917,Excel
0.6398,4.94,4.27,0.9311,7.35,2.99,5.95,0.7736,0.0625,0.6378,Average
0.7295,9.06,2.29,1.0,6.69,1.42,6.46,0.8692,0.0833,0.5637,Average
0.7654,10.76,3.86,0.7645,5.67,4.04,5.96,0.7782,1.0,0.747,Excel
0.689,6.02,4.42,0.7264,8.09,4.37,6.86,0.8006,0.8333,0.7952,Excel
0.798,14.07,3.91,0.7933,5.07,3.0,6.64,0.8552,0.4167,0.6503,Average
0.5117,7.28,4.42,0.7782,4.5,1.17,5.84,0.7479,0.9412,0.6386,Average
0.8825,6.07,2.89,0.85,5.32,3.28,5.02,0.7097,0.5556,0.661,Average
0.753,7.12,3.29,0.9511,5.93,4.54,7.28,0.7685,0.1818,0.6902,Excel
0.5993,5.84,2.53,0.9533,7.22,3.66,6.93,0.4458,0.0,0.5971,Average
0.973,8.5,1.28,0.7133,3.69,3.02,7.32,0.5887,0.6875,0.6677,Average
0.4737,3.0,3.08,0.7294,4.86,2.68,9.58,0.8889,1.0,0.6609,Average
0.7444,15.87,3.61,0.8282,5.99,3.94,6.2,0.7979,0.1429,0.6462,Average
0.5319,6.04,3.42,0.8261,4.87,1.09,6.53,0.7479,0.25,0.5179,Average
0.7304,11.2,3.82,0.9342,4.42,4.2,5.63,0.8527,0.375,0.6614,Average
0.7948,15.45,2.66,0.7098,7.94,3.54,8.22,0.5922,0.0,0.5769,Average
0.7992,6.63,3.99,0.6562,6.61,2.02,6.12,0.6584,0.4,0.6264,Average
0.3069,8.65,4.11,0.8243,6.3,3.16,8.35,0.4036,0.8,0.6179,Average
0.9314,13.24,3.75,0.8636,4.88,5.0,6.42,0.9695,0.5,0.7154,Excel
0.6765,12.49,4.82,1.0,5.68,2.79,6.46,0.9459,0.1333,0.6405,Average
0.5399,10.62,2.57,0.7139,10.0,3.71,5.86,0.3662,0.0,0.5434,Average
0.836,7.16,1.55,0.9989,7.69,2.42,8.25,0.6024,1.0,0.7085,Excel
0.7225,7.8,4.57,0.907,8.77,3.61,8.34,0.816,0.1429,0.7194,Excel
0.6064,6.08,3.55,0.6098,6.42,2.72,2.08,0.5516,0.4706,0.5652,Average
0.5913,7.3,2.36,0.9163,7.44,3.55,5.21,0.629,0.2,0.569,Average
0.4877,3.83,4.35,0.5307,6.23,3.7,7.35,0.845,0.2353,0.5921,Average
0.7597,8.81,2.6,0.7206,10.0,2.14,5.59,0.8572,0.8,0.7103,Excel
0.8467,11.75,4.27,0.9549,6.1,3.86,5.31,0.861,0.2667,0.6772,Average
0.6571,13.36,3.51,0.8629,6.27,3.32,4.82,0.6987,0.5,0.633,Average
0.6745,9.33,3.97,0.6919,8.88,4.2,7.36,0.5086,1.0,0.7521,Excel
0.6359,2.43,1.99,0.5384,1.14,4.4,8.47,0.6125,0.9375,0.6321,Average
0.5521,13.9,4.2,0.8604,7.65,2.64,7.14,0.4089,0.2,0.5915,Average
0.7261,10.62,3.14,0.6726,7.42,1.52,7.35,0.9314,0.6,0.6224,Average
0.6505,7.65,3.18,0.7499,7.26,2.96,5.54,0.8573,0.375,0.6049,Average
0.77,9.04,1.64,1.0,7.28,3.71,6.37,0.9078,0.1,0.679,Average
0.6668,10.89,3.34,0.936,8.82,3.57,6.38,0.6816,0.1875,0.6395,Average
0.3684,4.85,1.22,0.9217,7.09,3.01,6.41,0.8152,0.2,0.5134,Average
0.4471,8.41,2.63,1.0,5.61,3.04,6.67,0.5689,0.4615,0.5227,Average
0.557,9.53,3.75,0.7218,5.12,1.96,4.62,0.541,0.6667,0.5851,Average
0.5003,5.42,2.7,1.0,6.44,2.43,8.54,0.5079,1.0,0.6587,Average
0.8163,10.52,3.87,0.838,8.23,1.96,7.83,0.7286,1.0,0.7992,Excel
0.2706,7.01,1.03,0.7536,7.33,5.0,5.74,0.7134,0.875,0.5559,Average
0.7088,10.56,3.09,0.8142,5.71,2.71,6.79,0.5995,0.4286,0.6227,Average
1.0,2.19,2.26,0.7395,3.17,2.64,7.52,0.511,0.6,0.6836,Excel
